symbol,entry_type,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,risk_pct,overall_score,prior_advance_pct,position_in_base
META,low_cheat,2024-05-01,436.9622497558594,404.1495356589233,535.4003920466675,2024-05-31,456.0499363858009,trailing_stop,4.3682690302437415,21,9.861335821309208,1.5733458317709983,7.509278917176318,100.0,73.9298396527719,lower_third
AMAT,low_cheat,2023-04-20,111.60748291015625,104.22161087167214,133.76509902560858,2023-05-19,122.40529570123311,trailing_stop,9.674810782865768,21,15.44716924512187,4.580833516615551,6.617721183112532,95.66666666666666,63.628583072112754,lower_third
LRCX,low_cheat,2023-04-19,47.83769607543945,46.090392756572825,53.07960603203934,2023-04-20,49.65515458700363,trailing_stop,3.7992183166556908,1,9.26233507016389,0.0,3.652565784337005,89.33333333333334,68.4135033875175,lower_third
LRCX,low_cheat,2024-04-26,91.11898040771484,82.79357799268136,116.09518765281528,2024-06-10,94.33936160561129,trailing_stop,3.534259474246467,30,8.983431025522604,6.838353283359281,9.136847644454752,100.0,57.12264143174437,lower_third
KLAC,low_cheat,2023-04-20,365.9950866699219,344.1262274526935,431.60166432160696,2023-05-24,398.76940151340875,trailing_stop,8.954851045048287,24,14.689316889524518,5.277994448814583,5.975178359962826,95.66666666666666,71.87463569274058,lower_third
JPM,low_cheat,2023-03-16,122.33056640625,115.54704104399875,142.68114249300376,2023-03-24,115.54704104399875,stop,-5.545241521831682,6,0.7495312573386562,5.843196721185018,5.545241521831682,96.66666666666666,36.90760225864882,lower_third
ABBV,low_cheat,2022-06-17,121.50700378417969,116.90681429817415,135.30757224219627,2022-07-20,130.74129549012952,trailing_stop,7.59980200182678,21,13.262949475607142,0.0,3.785945947754891,92.33333333333334,41.59857439729468,lower_third
ABBV,low_cheat,2024-05-31,153.15147399902344,142.9582190588466,183.73123881955397,2024-07-25,169.4778766548063,trailing_stop,10.660297435914304,37,16.4845236167519,1.4946584091540656,6.655668844716336,96.66666666666666,35.37020635209795,lower_third
UNP,low_cheat,2024-05-31,226.20840454101562,213.48726627496558,264.37181933916577,2024-06-14,213.48726627496558,stop,-5.623636439088839,10,0.2920687598667529,6.129192475741202,5.623636439088839,86.0,30.07524121060915,lower_third
LMT,low_cheat,2022-06-24,384.1595458984375,354.5727457390633,472.9199463765601,2022-07-19,354.5727457390633,stop,-7.701695942548891,16,3.799173610459107,10.82712201175089,7.701695942548891,96.66666666666666,47.25616250225689,lower_third
COP,low_cheat,2023-02-10,104.34426879882812,94.85426974116118,132.81426597182897,2023-02-17,94.85426974116118,stop,-9.09489248131425,5,0.0,9.934500765567075,9.09489248131425,96.66666666666666,80.22116647182399,lower_third
COP,low_cheat,2023-12-11,105.4563217163086,101.11734631695687,118.47324791436377,2024-01-08,108.29393387632379,trailing_stop,2.6907937938976745,18,8.09557241462913,2.193297508345026,4.114476333646588,92.66666666666666,30.669920501949395,lower_third
SHOP,low_cheat,2023-09-29,54.56999969482422,49.57820014953613,69.54539833068849,2023-10-25,49.57820014953613,stop,-9.147516168598301,18,2.9796581634172417,11.398206442161793,9.147516168598301,96.66666666666666,72.62942034883851,lower_third
UBER,low_cheat,2023-04-28,31.049999237060547,28.6355993270874,38.293198966979986,2023-05-02,34.793749999999996,trailing_stop,12.057168614906104,2,17.954914331480122,0.0,7.775845311749233,96.66666666666666,38.84045178719145,lower_third
UBER,low_cheat,2024-08-08,69.01000213623047,53.74320014953613,114.8104080963135,2024-09-30,74.52749710083008,trailing_stop,7.99521054021661,36,13.679168989701699,2.7387325476638145,22.122593122887647,93.33333333333334,43.55120174294728,lower_third
