symbol,entry_type,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,risk_pct,overall_score,prior_advance_pct,position_in_base
AMZN,pivot_breakout,2023-12-15,149.97000122070312,139.95379760742188,180.01861206054687,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,16.950055319087458,3.947454904820035,6.678804782125006,99.0,33.510298041511724,upper_third
AMZN,pivot_breakout,2024-11-06,207.08999633789062,165.5415982055664,331.7351907348633,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.511470433286545,5.475878380618707,20.06296724470135,100.0,32.708921666282706,upper_third
GOOGL,pivot_breakout,2024-12-11,194.76502990722656,157.0969944204183,307.76913636765136,2024-12-31,188.6848602294922,time,-3.1217974195011156,13,3.0808560834706884,5.209835458876632,19.34024578475452,100.0,30.074648550698914,upper_third
NVDA,pivot_breakout,2024-01-08,52.226806640625,44.08381721023219,76.65577493180342,2024-02-13,70.84492633799096,trailing_stop,35.64858909616679,25,42.78798852228085,1.0774385860222764,15.591589748967586,96.0,34.559388164345506,upper_third
AMD,pivot_breakout,2022-02-01,116.77999877929688,97.81379760742188,173.67860229492186,2022-02-02,123.55699768066405,trailing_stop,5.803218849295472,1,11.371809315047873,0.0,16.24096709207826,89.33333333333334,65.0047525224143,upper_third
AVGO,pivot_breakout,2023-08-31,89.5182113647461,77.83804009756076,124.55872516630208,2023-09-21,77.83804009756076,stop,-13.04781573393366,14,0.0,13.378587031638617,13.04781573393366,99.0,62.281853853806744,upper_third
AMAT,pivot_breakout,2023-05-25,127.62442016601562,104.3650313274377,197.40258668174937,2023-06-22,132.4503067350343,trailing_stop,3.7813190945283806,18,9.243493783714088,0.3679077670969639,18.224873271370623,93.66666666666666,62.1864920466804,upper_third
LRCX,pivot_breakout,2024-06-12,102.1729507446289,83.19018376685557,159.12125167794892,2024-07-11,105.90262500570437,trailing_stop,3.6503538694868545,19,9.105635652091424,2.2442452916559734,18.579053300730124,99.0,58.654351027064486,upper_third
CRM,pivot_breakout,2021-12-02,258.4809875488281,231.66548566524756,338.9274931995698,2022-01-05,231.66548566524756,stop,-10.374264713962766,23,3.5872818655779826,12.974722896832441,10.374264713962766,92.66666666666666,31.740935924726653,upper_third
ORCL,pivot_breakout,2024-06-12,138.29518127441406,110.59180237624037,221.40531796893515,2024-09-09,138.2015380859375,time,-0.06771254617378877,60,4.71852454758436,10.168796422231118,20.03206376598393,92.66666666666666,30.839490916029945,upper_third
ADBE,pivot_breakout,2023-05-26,415.3900146484375,316.82420837402344,711.0874334716797,2023-06-20,492.8029907226562,trailing_stop,18.636214965286698,15,24.880226279249165,1.1290599860412152,23.72849678580612,89.33333333333334,44.660882845651344,upper_third
NOW,pivot_breakout,2023-05-18,510.1700134277344,418.4698095703125,785.2706249999999,2023-06-07,535.4485046386718,trailing_stop,4.954915135269535,13,10.47885803712584,3.1440516147062696,17.974440175600638,93.33333333333334,46.77151190420994,upper_third
CRWD,pivot_breakout,2023-08-31,163.02999877929688,144.2069940185547,219.4990130615234,2023-10-06,168.0977569580078,trailing_stop,3.108482007395123,25,8.53524421831066,3.3368106987295607,11.545730786776224,92.66666666666666,60.60651340070537,upper_third
PANW,pivot_breakout,2023-05-24,102.15499877929688,93.0215982055664,129.5552005004883,2023-06-07,109.33549652099609,trailing_stop,7.02902239489277,9,12.662128836729236,0.8369592655825465,8.940727994586869,93.33333333333334,45.5679923186735,upper_third
PANW,pivot_breakout,2023-11-20,130.28500366210938,110.07359970092773,190.9192155456543,2023-12-05,141.0037528991699,trailing_stop,8.227155033789861,10,13.923321088199863,0.9210553129770385,15.513223619810745,100.0,46.840612819961784,upper_third
JPM,pivot_breakout,2024-06-28,195.7759246826172,178.76999700472595,246.7937077162909,2024-08-01,201.16470147805782,trailing_stop,2.752522714004119,23,8.160550225267498,0.0,8.68642439332643,99.0,32.394113924356716,upper_third
MA,pivot_breakout,2023-01-06,361.8492736816406,328.809068755897,460.96988845887154,2023-04-04,358.1389465332031,time,-1.0253791891542916,60,6.073373225928313,7.468666608936914,9.13093028751325,93.33333333333334,30.550015104830415,upper_third
BAC,pivot_breakout,2024-11-06,44.36592483520508,39.80193114288507,58.05790591216511,2024-12-31,43.17835235595703,time,-2.676767099207834,37,5.879777366941945,5.267630187262194,10.287160042921968,97.0,30.923228051667103,upper_third
GS,pivot_breakout,2024-03-21,400.6282653808594,361.97216606669224,516.5965633233608,2024-06-11,433.74299565758,trailing_stop,8.26569993638366,56,13.963894669877547,6.4272093090689975,9.648869701547023,99.0,34.56294561026802,upper_third
MS,pivot_breakout,2024-03-04,85.33708190917969,70.20853871195038,130.7227115008676,2024-05-29,93.82333017946698,trailing_stop,9.94438534858599,60,15.73093194588,6.230580750662977,17.727982793376874,93.33333333333334,31.35769561606554,upper_third
LLY,pivot_breakout,2021-12-15,265.194091796875,223.11083036318485,391.44387609794546,2022-03-14,260.2259826660156,time,-1.8733860536624212,60,3.131357552131292,15.47515080199272,15.868853317412427,99.0,43.31763903950666,upper_third
LLY,pivot_breakout,2023-08-08,512.3341064453125,429.85465783238647,759.7724522840906,2023-09-18,562.7951833956517,trailing_stop,9.849251946244488,28,15.630791522362616,0.9029767297179766,16.098762033468105,100.0,41.782016948880965,upper_third
DHR,pivot_breakout,2024-01-30,242.71099853515625,209.21849205907674,343.1885179633948,2024-04-25,243.81817626953125,time,0.4561712246487369,60,5.735860821643283,5.69871626948394,13.799336115057919,96.66666666666666,31.100506381280873,upper_third
