symbol,entry_type,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,risk_pct,overall_score,prior_advance_pct,position_in_base
AMZN,handle,2023-05-26,120.11000061035156,110.50120056152345,148.9364007568359,2023-07-20,129.81749420166014,trailing_stop,8.082169296460687,36,13.77070452259021,0.7826179640575548,8.0,90.0,48.98685894652144,upper_third
AMZN,handle,2023-12-15,149.97000122070312,137.9724011230469,185.96280151367182,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,16.950055319087458,3.947454904820035,8.0,99.0,33.510298041511724,upper_third
AMZN,handle,2024-11-06,207.08999633789062,190.52279663085938,256.7915954589844,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.511470433286545,5.475878380618707,8.0,100.0,32.708921666282706,upper_third
AMZN,handle,2024-12-20,224.9199981689453,206.9263983154297,278.9007977294921,2024-12-31,219.38999938964844,time,-2.4586514424311434,6,1.8762232149465579,2.885472855236817,8.0,96.0,32.708921666282706,upper_third
MSFT,handle,2023-05-25,319.804443359375,294.220087890625,396.557509765625,2023-07-18,341.9027799635537,trailing_stop,6.909952961268292,35,12.536792590808737,1.0493389416383967,8.0,96.66666666666666,30.037935529540583,upper_third
GOOGL,handle,2023-08-29,133.64822387695312,122.95636596679688,165.72379760742186,2023-10-26,122.95636596679688,stop,-7.9999999999999964,41,4.941663645425081,9.883340898103484,8.0,92.66666666666666,42.72974044117216,upper_third
GOOGL,pivot_breakout,2024-12-11,194.76502990722656,179.18382751464844,241.50863708496092,2024-12-31,188.6848602294922,time,-3.1217974195011156,13,3.0808560834706884,5.209835458876632,8.0,100.0,30.074648550698914,upper_third
META,low_cheat,2024-05-01,436.9622497558594,404.1495356589233,535.4003920466675,2024-05-31,456.0499363858009,trailing_stop,4.3682690302437415,21,9.861335821309208,1.5733458317709983,7.509278917176318,100.0,73.9298396527719,lower_third
META,handle,2024-07-05,537.70458984375,494.68822265625005,666.7536914062498,2024-07-12,494.68822265625005,stop,-7.99999999999999,5,0.5371343177517408,8.460652261783729,8.0,100.0,69.62759952690817,upper_third
NVDA,handle,2021-12-07,32.36610794067383,29.776819305419924,40.13397384643554,2021-12-13,29.776819305419924,stop,-7.999999999999995,4,0.0,13.294484990089895,8.0,96.0,71.24806573682557,upper_third
NVDA,handle,2021-12-14,28.283790588378906,26.021087341308593,35.071900329589845,2021-12-16,29.5464136730461,trailing_stop,4.464122588950201,2,9.962234304158109,1.7609625430256193,8.0,96.0,71.24806573682557,upper_third
NVDA,pivot_breakout,2024-01-08,52.226806640625,48.048662109375,64.761240234375,2024-02-13,70.84492633799096,trailing_stop,35.64858909616679,25,42.78798852228085,1.0774385860222764,8.0,96.0,34.559388164345506,upper_third
AMD,pivot_breakout,2022-02-01,116.77999877929688,107.43759887695313,144.8071984863281,2022-02-02,123.55699768066405,trailing_stop,5.803218849295472,1,11.371809315047873,0.0,8.0,89.33333333333334,65.0047525224143,upper_third
AVGO,handle,2023-02-28,56.929534912109375,52.48830585950479,70.25322206992313,2023-03-13,58.61144166870644,trailing_stop,2.9543658826541903,9,8.373016718583363,1.3730700468919372,7.801274082883642,95.66666666666666,33.92891826528421,upper_third
AVGO,handle,2023-05-31,77.9549560546875,71.71855957031251,96.66414550781248,2023-06-22,81.57238699293637,trailing_stop,4.640411747151968,15,10.147801839107334,3.908601868740173,8.0,96.0,47.14151365430937,upper_third
AVGO,pivot_breakout,2023-08-31,89.5182113647461,82.3567544555664,111.00258209228517,2023-09-07,82.3567544555664,stop,-8.000000000000004,4,0.0,8.925215248388554,8.0,99.0,62.281853853806744,upper_third
MU,handle,2023-05-15,63.867958068847656,58.75852142333984,79.1962680053711,2023-05-26,70.01416937168715,trailing_stop,9.623309541560834,9,15.392957412169302,2.0730330120632026,8.0,93.66666666666666,33.15384636658268,upper_third
MU,handle,2023-09-22,68.18536376953125,62.730534667968755,84.54985107421874,2023-11-28,74.33232099370083,trailing_stop,9.015068460947862,46,14.752703643103013,7.331588108539472,8.0,96.0,42.00361121085266,upper_third
MU,handle,2024-06-17,146.9212646484375,135.1675634765625,182.18236816406252,2024-06-21,135.1675634765625,stop,-8.000000000000005,3,6.56837184975849,8.205361351876906,8.0,100.0,55.83705645217813,upper_third
MU,handle,2024-06-25,140.2525177001953,129.0323162841797,173.91312194824215,2024-07-01,129.0323162841797,stop,-7.99999999999999,4,2.0904452159346385,9.814345993263416,8.0,100.0,68.13927373076429,upper_third
QCOM,handle,2023-07-28,123.16946411132812,113.31590698242188,152.73013549804688,2023-08-03,113.31590698242188,stop,-7.999999999999997,4,2.695414163597329,11.26815273985035,8.0,90.0,31.005409105874364,upper_third
AMAT,low_cheat,2023-04-20,111.60748291015625,104.22161087167214,133.76509902560858,2023-05-19,122.40529570123311,trailing_stop,9.674810782865768,21,15.44716924512187,4.580833516615551,6.617721183112532,95.66666666666666,63.628583072112754,lower_third
AMAT,handle,2023-05-25,127.62442016601562,117.41446655273438,158.25428100585935,2023-06-22,132.4503067350343,trailing_stop,3.7813190945283806,18,9.243493783714088,0.3679077670969639,8.0,93.66666666666666,62.1864920466804,upper_third
AMAT,handle,2023-06-26,136.75091552734375,125.81084228515626,169.57113525390622,2023-08-03,142.44005014271116,trailing_stop,4.160216839082038,27,9.642333514823214,4.492132277299481,8.0,97.0,34.408837110586205,upper_third
