symbol,first_contraction_alert_date,num_contraction_alerts,max_contractions_seen,first_pre_alert_date,last_pre_alert_date,num_pre_alerts,signal_date,entry_date,entry_type,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,risk_pct,overall_score,had_contraction_alert,had_pre_alert,days_from_first_contraction_alert,days_from_first_pre_alert
AMZN,,0,0,,,0,2023-05-26,2023-05-26,handle,120.11000061035156,99.12700149536133,183.05899795532227,2023-07-20,129.81749420166014,trailing_stop,8.082169296460687,36,17.469818506671324,90.0,False,False,,
AMZN,2023-12-11,1,2,2023-12-11,2023-12-14,4,2023-12-15,2023-12-15,handle,149.97000122070312,136.72960418701172,189.69119232177735,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,8.828697023350822,99.0,True,True,4.0,4.0
AMZN,2024-10-29,1,2,2024-11-01,2024-11-05,3,2024-11-06,2024-11-06,handle,207.08999633789062,181.52539581298828,283.78379791259766,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.344681528310437,100.0,True,True,6.0,3.0
AMZN,2024-12-19,1,2,,,0,2024-12-20,2024-12-20,handle,224.9199981689453,191.835,324.17499267578125,2024-12-31,219.38999938964844,time,-2.4586514424311434,6,14.709673856610117,96.0,True,False,1.0,
GOOGL,2023-08-07,1,2,,,0,2023-08-29,2023-08-29,handle,133.64822387695312,115.06201188225313,189.4068598610531,2023-11-22,137.5413818359375,time,2.9129889242439293,60,13.906815560685562,92.66666666666666,True,False,16.0,
GOOGL,2024-12-03,1,3,,,0,2024-12-11,2024-12-11,pivot_breakout,194.76502990722656,157.0969944204183,307.76913636765136,2024-12-31,188.6848602294922,time,-3.1217974195011156,13,19.34024578475452,100.0,True,False,6.0,
MSFT,2023-05-05,1,2,,,0,2023-05-25,2023-05-25,handle,319.8044738769531,264.2213225344757,486.55392790438543,2023-07-18,341.9028391227831,trailing_stop,6.9099612578692335,35,17.380354523702948,96.66666666666666,True,False,14.0,
META,2024-04-08,1,2,,,0,2024-05-01,2024-05-01,low_cheat,436.9621887207031,404.1495356589233,535.4001479060425,2024-05-31,456.0499363858009,trailing_stop,4.368283608469896,21,7.509265998013611,100.0,True,False,17.0,
META,2024-06-03,2,3,2024-06-25,2024-06-27,3,2024-07-05,2024-07-05,handle,537.7046508789062,481.3324836574293,706.8211525433371,2024-07-17,481.3324836574293,stop,-10.483853381095685,8,10.483853381095685,100.0,True,True,22.0,7.0
NVDA,2021-11-29,1,2,,,0,2021-12-07,2021-12-07,handle,32.36610794067383,23.398629930687235,59.268541970633606,2022-01-21,23.398629930687235,stop,-27.706383561544467,31,27.706383561544467,96.0,True,False,6.0,
NVDA,2023-12-11,1,2,2023-12-18,2024-01-05,7,2024-01-08,2024-01-08,pivot_breakout,52.22681427001953,44.08381721023219,76.65580544938155,2024-02-13,70.84492633799096,trailing_stop,35.648569280357265,25,15.591602079512201,96.0,True,True,18.0,13.0
AMD,,0,0,2022-01-31,2022-01-31,1,2022-02-01,2022-02-01,pivot_breakout,116.77999877929688,97.81379760742188,173.67860229492186,2022-02-02,123.55699768066405,trailing_stop,5.803218849295472,1,16.24096709207826,89.33333333333334,False,True,,1.0
AVGO,,0,0,2023-02-21,2023-02-27,5,2023-02-28,2023-02-28,handle,56.92953872680664,52.48830585950479,70.25323732871219,2023-03-13,58.61144166870644,trailing_stop,2.9543589839554336,9,7.801280260875516,95.66666666666666,False,True,,5.0
