symbol,alert_date,alert_type,num_contractions,latest_contraction_pct,tightening_ratio,overall_score,prior_advance_pct,pivot_price,current_price,distance_to_pivot_pct,converted_to_pre_alert,converted_to_trade,pre_alert_date,trade_date
QCOM,2023-12-05,new_pattern,2,3.7399455114015137,0.14083651547173695,86.0,31.953701469118528,126.48938361663781,126.0549087524414,0.3446711187183247,True,False,2023-12-05,
MU,2023-03-23,new_pattern,2,21.948458644294632,0.663937426600107,89.0,33.28372362613447,63.4433286223074,60.48513412475586,4.890779429289195,True,True,2023-03-29,2023-05-15
MU,2023-04-13,new_contraction,3,15.015175730051814,0.6841107147154918,87.0,33.28372362613447,63.52220934401806,62.24753952026367,2.047743306126082,False,True,,2023-05-15
MU,2023-05-02,new_contraction,4,10.908142807919742,0.7264745350990375,91.33333333333334,33.15387294179668,63.591295569668254,61.16067886352539,3.9741493248735327,False,True,,2023-05-15
MU,2023-05-30,new_contraction,4,8.211588106660809,0.7527943345863489,96.66666666666666,33.15387294179668,63.67033963480069,70.83375549316406,-10.112997409906765,True,False,2023-06-29,
MU,2023-06-30,new_contraction,4,8.211588106660809,0.7527943345863489,96.66666666666666,33.31942657563495,63.67033963480069,62.35622787475586,2.107426643388788,True,False,2023-06-30,
MU,2023-08-02,new_contraction,3,8.211588106660809,0.7527943345863489,96.66666666666666,33.38244022366232,63.67033963480069,67.48252868652344,-5.649149677587672,True,False,2023-08-16,
MU,2023-09-01,new_contraction,3,8.211588106660809,0.7527943345863489,90.66666666666666,42.00361121085266,63.67033963480069,69.68014526367188,-8.624846584532637,False,True,,2023-09-22
MU,2024-06-07,new_pattern,2,10.15617803770395,0.4325993664484411,100.0,46.21702729702582,132.48059384614217,130.1350860595703,1.802363880174624,True,True,2024-06-07,2024-06-17
MU,2024-07-19,new_pattern,2,10.15617803770395,0.4325993664484411,100.0,67.68034253936747,132.48059384614217,113.65696716308594,16.56178864604603,False,False,,
MU,2024-08-20,new_pattern,2,10.15617803770395,0.4325993664484411,93.33333333333334,66.86968133884234,132.48059384614217,107.42005157470703,23.32948262830276,False,False,,
INTC,2023-08-15,new_pattern,2,9.440878098286573,0.5170238022861249,96.66666666666666,36.83783347603008,36.447102218638456,34.19804000854492,6.576582194568958,False,False,,
INTC,2024-03-06,new_pattern,2,8.017189159138951,0.3445401721433835,99.0,42.06459223096449,50.60228911990351,44.05050277709961,14.873352015881999,False,False,,
LRCX,2023-04-14,new_pattern,2,10.956405268551702,0.6253934198603,89.33333333333334,68.41352991549941,53.278419810879434,48.79440689086914,9.189604312721718,False,True,,2023-04-19
LRCX,2023-04-21,new_pattern,2,10.956405268551702,0.6253934198603,89.33333333333334,68.41352991549941,53.278419810879434,50.38731384277344,5.737765615224674,False,True,,2023-05-15
LRCX,2023-05-04,new_contraction,3,8.73090481089889,0.7968767672330731,90.66666666666666,83.88356662156347,53.278419810879434,49.90505599975586,6.759563221690559,False,True,,2023-05-15
LRCX,2023-07-07,new_contraction,3,8.73090481089889,0.7968767672330731,97.0,38.22847410526343,53.278419810879434,60.361995697021484,-11.735158528715749,False,True,,2023-07-27
LRCX,2023-10-23,new_pattern,2,5.397543524234914,0.6306485934038141,92.66666666666666,51.652335259113244,62.80024034181467,58.75223159790039,6.889965936304865,True,False,2023-11-02,
LRCX,2023-12-12,new_pattern,2,6.375331900051854,0.24427068131151655,99.0,40.08894444102816,71.62895161833106,71.84879302978516,-0.30597787684890143,False,True,,2023-12-14
LRCX,2024-04-11,new_pattern,2,6.3877222439362695,0.5806418675816394,100.0,39.875778824367295,98.98223646172747,96.84092712402344,2.2111615422285986,True,True,2024-04-11,2024-04-26
LRCX,2024-06-11,new_pattern,2,8.402830891886241,0.48961908795784065,99.0,60.81902275821541,98.98223646172747,98.44300079345703,0.547764354930428,True,True,2024-06-11,2024-06-12
LRCX,2024-07-12,new_pattern,2,8.402830891886241,0.48961908795784065,99.0,45.66404377081691,98.98223646172747,105.53958892822266,-6.213168473637733,True,False,2024-07-22,
LRCX,2024-08-13,new_pattern,2,8.402830891886241,0.48961908795784065,89.0,36.77884420680161,98.98223646172747,82.94241333007812,19.33850546139424,False,False,,
AMAT,2023-03-20,new_pattern,2,8.55967587363657,0.6186327899138472,95.66666666666666,63.628610724119014,121.59656927580423,121.02273559570312,0.4741536185548567,True,False,2023-03-20,
AMAT,2023-05-22,new_contraction,3,6.578098658512968,0.43141548956430126,93.66666666666666,68.87952894506186,121.59656927580423,123.47168731689453,-1.518662360446849,True,True,2023-05-23,2023-05-25
AMAT,2023-06-23,new_contraction,3,6.578098658512968,0.43141548956430126,97.0,34.40885947046223,121.59656927580423,133.1022491455078,-8.6442415087408,False,True,,2023-06-26
AMAT,2023-08-04,new_pattern,2,6.578098658512968,0.43141548956430126,95.66666666666666,32.49941839423818,118.54452981620007,142.48309326171875,-16.800985223943275,False,False,,
AMAT,2023-09-08,new_pattern,2,6.578098658512968,0.4938108638133646,96.0,31.0984331172804,120.51538912454711,144.6253204345703,-16.670615655389838,False,False,,
AMAT,2023-10-13,new_pattern,2,4.742879191628822,0.2848721934671501,96.0,34.92479724361376,149.93691028143866,138.36114501953125,8.366341041969084,False,False,,
AMAT,2023-11-27,new_pattern,2,11.145557694689566,0.5528283824987913,96.0,41.199144232387326,154.65390881724446,148.1583709716797,4.384185519160699,False,True,,2023-12-11
AMAT,2024-04-16,new_pattern,2,6.56518230532861,0.7493290061879818,100.0,30.51742301036848,211.4891905948464,206.1456298828125,2.5921290279457088,True,False,2024-04-16,
AMAT,2024-10-14,new_pattern,2,9.558971321045078,0.42278586573475757,92.33333333333334,37.19174106385863,209.99174607784727,211.2733154296875,-0.6065930991965446,False,False,,
KLAC,2023-02-06,new_pattern,2,10.937152630255262,0.7523931139554587,92.66666666666666,58.900287412721575,417.00814698090016,393.830322265625,5.885231127440339,False,False,,
KLAC,2023-04-04,new_pattern,2,8.748590049055355,0.461345930281016,95.66666666666666,68.26918944715781,417.00814698090016,382.6919250488281,8.96706193309242,False,True,,2023-04-20
KLAC,2023-11-02,new_pattern,2,12.147954682298614,0.6680307954908664,96.0,45.848520593787356,509.83300080163053,479.5971984863281,6.304415957960259,True,True,2023-11-08,2023-11-10
