symbol,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,overall_score,trend_template_score,prior_advance_pct,num_contractions,final_contraction_pct,base_duration_days
AMZN,2023-12-15,149.97000122070312,139.4721011352539,181.46370147705082,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,16.950055319087458,3.947454904820035,99.0,100.0,33.510298041511724,2,4.516488382121713,56
AMZN,2024-11-06,207.08999633789062,192.59369659423828,250.57889556884766,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.511470433286545,5.475878380618707,100.0,100.0,32.708921666282706,2,7.974189774280665,37
GOOGL,2024-12-11,194.76502990722656,181.1314778137207,235.66568618774417,2024-12-31,188.6848602294922,time,-3.1217974195011156,13,3.0808560834706884,5.209835458876632,100.0,100.0,30.074648550698914,3,4.142593297125936,75
NVDA,2024-01-08,52.226806640625,48.57093017578125,63.19443603515625,2024-02-13,70.84492633799096,trailing_stop,35.64858909616679,25,42.78798852228085,1.0774385860222764,96.0,100.0,34.559388164345506,2,12.303941079557076,70
AMD,2022-02-01,116.77999877929688,108.60539886474609,141.30379852294922,2022-02-02,123.55699768066405,trailing_stop,5.803218849295472,1,11.371809315047873,0.0,89.33333333333334,77.77777777777779,65.0047525224143,2,8.646433317209762,21
AVGO,2023-08-31,89.5182113647461,83.25193656921387,108.31703575134277,2023-09-07,83.25193656921387,stop,-6.999999999999999,4,0.0,8.925215248388554,99.0,100.0,62.281853853806744,2,8.106983427425435,17
AMAT,2023-05-25,127.62442016601562,118.69071075439453,154.4255484008789,2023-06-22,132.4503067350343,trailing_stop,3.7813190945283806,18,9.243493783714088,0.3679077670969639,93.66666666666666,88.88888888888889,62.1864920466804,3,6.578120868867572,58
LRCX,2024-06-12,102.1729507446289,95.02084419250488,123.62927040100098,2024-07-11,105.90262500570437,trailing_stop,3.6503538694868545,19,9.105635652091424,2.2442452916559734,99.0,100.0,58.654351027064486,2,8.40284039667102,39
CRM,2021-12-02,258.4809875488281,240.38731842041014,312.76199493408205,2022-01-05,240.38731842041014,stop,-7.000000000000006,23,3.5872818655779826,12.974722896832441,92.66666666666666,88.88888888888889,31.740935924726653,2,4.88947782145591,18
ADBE,2023-05-26,415.3900146484375,386.3127136230469,502.6219177246094,2023-06-20,492.8029907226562,trailing_stop,18.636214965286698,15,24.880226279249165,1.1290599860412152,89.33333333333334,77.77777777777779,44.660882845651344,2,8.93315726421516,26
ORCL,2024-06-12,138.29518127441406,128.61451858520508,167.33716934204102,2024-08-05,128.61451858520508,stop,-7.000000000000002,36,4.71852454758436,9.518729969722688,92.66666666666666,88.88888888888889,30.839490916029945,2,10.606733772178655,49
NOW,2023-05-18,510.1700134277344,474.45811248779296,617.3057162475586,2023-06-07,535.4485046386718,trailing_stop,4.954915135269535,13,10.47885803712584,3.1440516147062696,93.33333333333334,77.77777777777779,46.77151190420994,2,5.845294228296436,37
PANW,2023-05-24,102.15499877929688,95.00414886474609,123.60754852294924,2023-06-07,109.33549652099609,trailing_stop,7.02902239489277,9,12.662128836729236,0.8369592655825465,93.33333333333334,77.77777777777779,45.5679923186735,2,3.308048304067226,17
PANW,2023-11-14,130.5850067138672,121.44405624389648,158.0078581237793,2023-11-16,121.44405624389648,stop,-7.000000000000001,2,1.3707494690067876,10.34575875561856,100.0,100.0,46.840612819961784,2,13.172185015263205,57
PANW,2023-11-20,130.28500366210938,121.16505340576171,157.64485443115237,2023-12-05,141.0037528991699,trailing_stop,8.227155033789861,10,13.923321088199863,0.9210553129770385,100.0,100.0,46.840612819961784,2,13.172185015263205,57
CRWD,2023-08-31,163.02999877929688,151.61789886474608,197.26629852294926,2023-10-06,168.0977569580078,trailing_stop,3.108482007395123,25,8.53524421831066,3.3368106987295607,92.66666666666666,88.88888888888889,60.60651340070537,2,9.751958340963593,24
ZS,2023-11-03,164.3699951171875,152.86409545898437,198.8876940917969,2023-11-28,185.3165069580078,trailing_stop,12.743513088192588,16,18.677382198097465,2.7803079644624398,92.66666666666666,88.88888888888889,93.44164923560079,2,13.013500248728294,24
JPM,2024-06-28,195.7759246826172,182.07160995483397,236.88886886596683,2024-08-01,201.16470147805782,trailing_stop,2.752522714004119,23,8.160550225267498,0.0,99.0,100.0,32.394113924356716,2,3.4649185978045254,24
MA,2023-01-06,361.8492736816406,336.51982452392576,437.8376211547852,2023-03-13,336.51982452392576,stop,-7.000000000000004,44,6.073373225928313,7.468666608936914,93.33333333333334,77.77777777777779,30.550015104830415,3,6.097186066185124,80
BAC,2024-11-06,44.36592483520508,41.26031009674072,53.68276905059816,2024-12-31,43.17835235595703,time,-2.676767099207834,37,5.879777366941945,5.267630187262194,97.0,100.0,30.923228051667103,3,4.305988648187079,68
GS,2024-03-21,400.6282653808594,372.58428680419917,484.76020111084,2024-06-11,433.74299565758,trailing_stop,8.26569993638366,56,13.963894669877547,6.4272093090689975,99.0,100.0,34.56294561026802,2,4.213185762625012,19
MS,2024-03-04,85.33708190917969,79.3634861755371,103.25786911010744,2024-05-29,93.82333017946698,trailing_stop,9.94438534858599,60,15.73093194588,6.230580750662977,93.33333333333334,77.77777777777779,31.35769561606554,2,5.384527295008163,49
LLY,2021-12-15,265.194091796875,246.63050537109373,320.8848510742188,2022-01-06,246.63050537109373,stop,-7.000000000000006,15,3.131357552131292,7.199941604260926,99.0,100.0,43.31763903950666,2,0.029531845896939985,49
