symbol,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,overall_score,trend_template_score,prior_advance_pct,num_contractions,final_contraction_pct,base_duration_days
AMZN,2023-12-15,149.97000122070312,139.4721011352539,181.46370147705082,2024-02-13,166.620499420166,trailing_stop,11.102552553133071,39,16.950055319087458,3.947454904820035,99.0,100.0,33.510298041511724,2,4.516488382121713,56
AMZN,2024-06-26,193.61000061035156,180.05730056762695,234.2681007385254,2024-07-25,180.05730056762695,stop,-7.000000000000001,20,3.9202501492502027,8.682401480089135,92.5,100.0,29.328621908127207,3,3.9344469897277246,46
AMZN,2024-11-06,207.08999633789062,192.59369659423828,250.57889556884766,2024-12-18,221.35,trailing_stop,6.885896911622215,29,12.511470433286545,5.475878380618707,100.0,100.0,32.708921666282706,2,7.974189774280665,37
GOOGL,2023-05-10,110.98454284667969,103.2156248474121,134.29129684448245,2023-05-24,119.28578120766086,trailing_stop,7.4796346843082215,10,13.136457562429715,0.0,82.5,66.66666666666666,29.805614077421094,2,7.324971331581173,23
GOOGL,2024-02-02,141.4047088623047,131.50637924194336,171.09969772338866,2024-03-04,131.50637924194336,stop,-6.9999999999999964,20,4.95857959698413,7.353547967246467,86.16666666666666,88.88888888888889,22.427400814061002,3,6.839383381287534,44
GOOGL,2024-12-11,194.76502990722656,181.1314778137207,235.66568618774417,2024-12-31,188.6848602294922,time,-3.1217974195011156,13,3.0808560834706884,5.209835458876632,100.0,100.0,30.074648550698914,3,4.142593297125936,75
AAPL,2022-10-28,153.17129516601562,142.44930450439452,185.33726715087894,2022-11-03,142.44930450439452,stop,-7.000000000000008,4,0.0,10.909204500371004,72.66666666666666,22.22222222222222,38.98518137033107,2,7.266221353280825,20
AAPL,2023-05-05,171.25149536132812,159.26389068603515,207.21430938720704,2023-08-02,190.27035522460938,time,11.105806593485708,60,14.36547309624354,1.679038495528545,84.83333333333334,77.77777777777779,26.745573148298945,2,3.2923823303436115,15
AAPL,2024-06-11,205.7525177001953,191.34984146118163,248.96054641723637,2024-07-18,223.8481396742797,trailing_stop,8.794848382099394,25,14.520893033788838,0.2703218180229647,81.5,66.66666666666666,18.32488752591347,2,0.06252503047350173,84
MSFT,2023-02-07,261.31231689453125,243.02045471191406,316.18790344238283,2023-02-24,243.02045471191406,stop,-7.000000000000002,12,3.4384727684834533,7.040881685683136,83.33333333333333,44.44444444444444,37.54245027038605,2,3.8130488048462396,55
TSLA,2022-07-21,271.7066650390625,252.6871984863281,328.7650646972657,2022-07-29,283.4040069580078,trailing_stop,4.305136172225889,6,9.79488018129041,5.683824081091876,72.33333333333334,11.11111111111111,72.57142797353315,2,16.60909856276328,21
NVDA,2024-01-08,52.226806640625,48.57093017578125,63.19443603515625,2024-02-13,70.84492633799096,trailing_stop,35.64858909616679,25,42.78798852228085,1.0774385860222764,96.0,100.0,34.559388164345506,2,12.303941079557076,70
AMD,2022-02-01,116.77999877929688,108.60539886474609,141.30379852294922,2022-02-02,123.55699768066405,trailing_stop,5.803218849295472,1,11.371809315047873,0.0,89.33333333333334,77.77777777777779,65.0047525224143,2,8.646433317209762,21
INTC,2022-01-10,51.20541763305664,47.62103839874267,61.958555335998554,2022-01-24,47.62103839874267,stop,-7.0000000000000115,9,1.9380512043955431,9.654049200332837,68.5,33.33333333333333,12.87986520312376,2,3.547846052095823,21
INTC,2024-07-08,33.77574157714844,31.411439666748045,40.868647308349615,2024-07-17,35.07946804729057,trailing_stop,3.859949209891485,7,9.326262326201578,2.000585911021929,73.33333333333334,11.11111111111111,38.114881145124855,2,4.44591619501651,17
AVGO,2023-08-31,89.5182113647461,83.25193656921387,108.31703575134277,2023-09-07,83.25193656921387,stop,-6.999999999999999,4,0.0,8.925215248388554,99.0,100.0,62.281853853806744,2,8.106983427425435,17
AMAT,2023-05-25,127.62442016601562,118.69071075439453,154.4255484008789,2023-06-22,132.4503067350343,trailing_stop,3.7813190945283806,18,9.243493783714088,0.3679077670969639,93.66666666666666,88.88888888888889,62.1864920466804,3,6.578120868867572,58
LRCX,2024-06-12,102.1729507446289,95.02084419250488,123.62927040100098,2024-07-11,105.90262500570437,trailing_stop,3.6503538694868545,19,9.105635652091424,2.2442452916559734,99.0,100.0,58.654351027064486,2,8.40284039667102,39
CRM,2021-12-02,258.4809875488281,240.38731842041014,312.76199493408205,2022-01-05,240.38731842041014,stop,-7.000000000000006,23,3.5872818655779826,12.974722896832441,92.66666666666666,88.88888888888889,31.740935924726653,2,4.88947782145591,18
ADBE,2023-05-26,415.3900146484375,386.3127136230469,502.6219177246094,2023-06-20,492.8029907226562,trailing_stop,18.636214965286698,15,24.880226279249165,1.1290599860412152,89.33333333333334,77.77777777777779,44.660882845651344,2,8.93315726421516,26
ORCL,2024-03-12,125.24169921875,116.47478027343749,151.54245605468753,2024-04-18,116.47478027343749,stop,-7.000000000000009,26,4.100677215296791,8.990611526281098,85.83333333333334,77.77777777777779,27.90188181623195,3,4.038704805080451,47
ORCL,2024-06-12,138.29518127441406,128.61451858520508,167.33716934204102,2024-08-05,128.61451858520508,stop,-7.000000000000002,36,4.71852454758436,9.518729969722688,92.66666666666666,88.88888888888889,30.839490916029945,2,10.606733772178655,49
INTU,2024-11-07,669.7247924804688,622.8440570068359,810.3669989013673,2024-12-03,622.8440570068359,stop,-7.000000000000006,17,6.026851574406921,7.083000127689536,78.16666666666667,55.55555555555556,21.41257096401733,2,3.9005887800280634,43
