symbol,pattern,detector,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,spy_above_200ma,spy_distance_from_200ma
AAPL,VCP,v3,2023-05-05,171.25148010253906,159.26387649536133,0,2023-08-04,186.05995371165574,trailing_stop,8.647209122075855,62,14.365483286395644,1.6790385280098103,82.09118402497097,1.8897645874467937,2,97.5,True,4.824761175168732
AAPL,VCP,v3,2023-09-07,175.66737365722656,163.3706575012207,0,2024-01-02,187.86483663991743,trailing_stop,6.943499369718668,80,12.572104599703875,6.696323913778582,71.75660343416874,2.018214033226591,2,90.0,True,7.459057410066904
AAPL,VCP,v3,2024-06-11,205.75253295898438,191.34985565185545,0,2024-07-18,223.8481250034161,trailing_stop,8.794833183433509,25,14.520877035193172,0.27033657492476626,72.49838712759201,2.824131769365207,2,100.0,True,12.401134626972187
AAPL,VCP,v3,2024-08-05,207.85824584960938,193.3081686401367,0,2024-09-03,220.03566164589105,trailing_stop,5.858519466719806,20,11.430020491284006,3.9183808022717836,76.97012821652808,1.7194317624978839,2,100.0,True,4.008443960012764
AAPL,VCP,v3,2024-12-20,253.3441925048828,235.610099029541,0,2025-01-10,235.610099029541,stop,-7.000000000000004,12,2.204400879621929,8.444341690782121,83.93078945288998,3.2191201137601277,3,92.5,True,7.930174334505262
AAPL,VCP,v3,2025-01-28,237.18727111816406,220.58416213989256,0,2025-03-11,220.58416213989256,stop,-7.000000000000009,29,5.0427531049423955,8.633810897948754,73.66911734038811,1.5070312172173992,2,90.0,True,8.495238602746028
AAPL,VCP,v3,2025-09-22,255.8319854736328,237.9237464904785,0,2025-11-28,278.8500061035156,open,8.99731930988557,48,9.595367586165146,4.717271405877454,74.20916452679195,1.8356352056229994,3,100.0,True,12.038590034282606
AAPL,VCP,v3,2025-10-20,261.98602294921875,243.64700134277342,0,2025-11-28,278.8500061035156,open,6.436978188552316,28,7.020978343245086,2.596860140283569,78.2477087830045,1.747981561646878,2,90.0,True,11.43508132070906
MSFT,VCP,v3,2023-02-07,261.3122863769531,243.02042633056638,0,2023-02-24,243.02042633056638,stop,-7.000000000000011,12,3.4384969663753546,7.040882455474919,71.21225137496984,1.6607311209894235,2,100.0,True,6.1453275401593555
MSFT,VCP,v3,2023-03-16,270.4262390136719,251.49640228271483,0,2023-06-21,327.63125495782043,trailing_stop,21.15364845985099,66,27.53015627352736,2.418553265504175,78.12046351049806,1.6854738941239467,2,90.0,True,1.3199852923770723
MSFT,VCP,v3,2023-04-27,298.4576416015625,277.5656066894531,0,2023-06-21,327.63125495782043,trailing_stop,9.774791893318104,37,15.55241251928222,0.49860906721510817,87.76035735098732,1.5487626259090888,2,100.0,True,5.016833292363536
MSFT,VCP,v3,2023-07-18,352.7444763183594,328.0523629760742,0,2023-07-26,328.0523629760742,stop,-6.999999999999999,6,0.826174771273285,7.338182072753208,90.2914396548547,2.3808933625774458,2,90.0,True,13.466681848713453
MSFT,VCP,v3,2024-04-25,393.9048767089844,366.33153533935547,0,2024-05-31,407.35253627735364,trailing_stop,3.413935790976345,25,8.856774516817218,2.4734314216242876,72.05682000668902,1.9968042473066647,3,85.0,True,8.294277586501796
MSFT,VCP,v3,2024-06-21,444.7926940917969,413.65720550537105,0,2024-07-25,413.65720550537105,stop,-7.000000000000009,23,4.128695171089422,7.174614062618641,75.7784584374535,1.7532991642633473,2,90.0,True,13.501965735057532
GOOGL,VCP,v3,2023-05-10,110.98453521728516,103.21561775207519,0,2023-05-24,119.28576655184139,trailing_stop,7.479628867485107,10,13.136451439458007,0.0,78.05429819301708,1.8362836155562388,3,100.0,True,4.798341829390432
GOOGL,VCP,v3,2023-07-25,121.37287902832031,112.87677749633788,0,2023-08-18,126.18270714367175,trailing_stop,3.9628524542366206,18,9.434581530775393,0.0,73.72526078582452,1.5627242285288656,2,100.0,True,13.143373794298304
GOOGL,VCP,v3,2023-10-24,137.85916137695312,128.2090200805664,0,2023-10-25,128.2090200805664,stop,-7.000000000000002,1,0.0,9.898417490429955,90.54553486679659,1.752702779126433,2,100.0,True,0.8108686032458972
GOOGL,VCP,v3,2024-04-25,154.93141174316406,144.08621292114256,0,2024-04-29,164.83762619291863,trailing_stop,6.393935444270331,2,11.99361625712667,0.0,77.0696236203408,1.8521111778464157,3,85.0,True,8.294277586501796
GOOGL,VCP,v3,2024-06-21,178.60430908203125,166.10200744628906,0,2024-07-26,166.10200744628906,stop,-6.999999999999999,24,6.747201079027221,8.667823709313,84.00944927508604,2.1564013935910613,2,100.0,True,13.501965735057532
GOOGL,VCP,v3,2024-12-10,184.56826782226562,171.64848907470702,0,2024-12-18,190.72718717061701,trailing_stop,3.3369329522463023,6,8.77571889710137,0.1728048348957598,77.90468783921808,2.1083504339748558,2,100.0,True,10.44419435702845
GOOGL,VCP,v3,2025-02-04,205.7093505859375,191.30969604492185,0,2025-02-05,191.30969604492185,stop,-7.0000000000000115,1,0.0,8.891369242681861,83.87375964543808,1.5419359797226861,3,100.0,True,7.5256736791001835
GOOGL,VCP,v3,2025-09-03,230.45388793945312,214.3221157836914,0,2025-09-25,243.2,trailing_stop,5.530873084638795,16,11.085129562777684,1.9726013834495182,90.7700407183909,2.7081628219209604,2,90.0,True,8.653509922529853
AMZN,VCP,v3,2023-05-26,120.11000061035156,111.70230056762695,0,2023-07-20,129.81749420166014,trailing_stop,8.082169296460687,36,13.77070452259021,0.7826179640575548,81.97640678914323,1.5385416854453837,2,100.0,True,6.450200125089069
