symbol,pattern,detector,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,spy_above_200ma,spy_distance_from_200ma
AAPL,VCP,v3,2023-05-05,171.25148010253906,159.26387649536133,207.21429092407226,2023-08-02,190.27037048339844,time,11.105825403360932,60,14.365483286395644,1.6790385280098103,82.09118402497097,1.8897645874467937,2,97.5,True,4.824761175168732
AAPL,VCP,v3,2024-06-11,205.75253295898438,191.34985565185545,248.9605648803711,2024-09-06,219.58421325683594,time,6.722483606366504,60,14.520877035193172,5.382568232303201,72.49838712759201,2.824131769365207,2,100.0,True,12.401134626972187
AAPL,VCP,v3,2025-01-28,237.18727111816406,220.58416213989256,286.9965980529785,2025-03-11,220.58416213989256,stop,-7.000000000000009,29,5.0427531049423955,8.633810897948754,73.66911734038811,1.5070312172173992,2,90.0,True,8.495238602746028
MSFT,VCP,v3,2023-02-07,261.3122863769531,243.02042633056638,316.1878665161133,2023-02-24,243.02042633056638,stop,-7.000000000000011,12,3.4384969663753546,7.040882455474919,71.21225137496984,1.6607311209894235,2,100.0,True,6.1453275401593555
GOOGL,VCP,v3,2023-05-10,110.98453521728516,103.21561775207519,134.29128761291503,2023-08-07,130.62904357910156,time,17.700221317642544,60,19.677847004949278,0.0,78.05429819301708,1.8362836155562388,3,100.0,True,4.798341829390432
AMZN,VCP,v3,2023-12-15,149.97000122070312,139.4721011352539,181.46370147705076,2024-03-14,178.75,time,19.190503797451353,60,20.117355419998752,3.947454904820035,88.84585449019721,2.0745239154989346,2,100.0,True,9.806804077694409
AMZN,VCP,v3,2024-06-26,193.61000061035156,180.05730056762695,234.2681007385254,2024-07-25,180.05730056762695,stop,-7.000000000000001,20,3.9202501492502027,8.682401480089135,82.63396905148304,1.5851877051733336,3,100.0,True,13.3384067941295
AMZN,VCP,v3,2024-11-06,207.08999633789062,192.59369659423828,250.57889556884766,2025-02-05,236.1699981689453,time,14.042205005212995,60,17.10850768318247,5.475878380618707,76.46476400284335,1.9657991272759232,2,100.0,True,10.78941680684592
NVDA,VCP,v3,2024-01-08,52.22681427001953,48.57093727111816,63.19444526672363,2024-01-30,63.19444526672363,target,21.000000000000004,15,21.51072351309222,1.0774459320278438,94.06166102130811,1.5658356502059974,2,90.0,True,9.536738061190682
META,VCP,v3,2025-01-24,645.9810791015625,600.762403564453,781.6371057128906,2025-03-07,600.762403564453,stop,-7.0000000000000115,29,14.428019696624359,7.240271640175622,88.96363813526943,1.5373828535118546,2,97.5,True,9.29129644796757
BRK-B,VCP,v3,2025-02-24,498.4200134277344,463.53061248779295,603.0882162475585,2025-04-07,463.53061248779295,stop,-7.0000000000000036,30,8.14172494663465,7.287028278507273,74.88676874176693,2.4639380737692425,2,100.0,True,5.412591402689966
JNJ,VCP,v3,2025-08-04,168.72244262695312,156.9118716430664,204.15415557861328,2025-10-28,185.75062561035156,time,10.092423223772256,60,14.53899317351934,0.8126785615071109,70.57001666368447,1.5083923964013009,3,92.5,True,7.739677320627693
XOM,VCP,v3,2023-01-31,104.63916015625,97.3144189453125,126.6133837890625,2023-03-13,97.3144189453125,stop,-7.0000000000000036,28,3.1204161895237124,9.905951641638998,90.89244447940118,1.6347084023511995,2,90.0,True,3.7724293679135656
XOM,VCP,v3,2023-04-03,105.55341339111328,98.16467445373534,127.71963020324706,2023-05-03,98.16467445373534,stop,-7.000000000000008,21,3.2635900159041387,7.207442469720853,90.22091529836666,1.6019395492917068,2,90.0,True,5.445645104316569
XOM,VCP,v3,2023-09-27,111.1041259765625,103.32683715820312,134.4359924316406,2023-10-04,103.32683715820312,stop,-7.000000000000004,5,0.41596974352776234,8.069892540797126,83.17474094093375,1.5918282581948329,2,100.0,True,2.487254308019852
JPM,VCP,v3,2023-06-29,135.24722290039062,125.77991729736327,163.64913970947265,2023-09-25,139.04331970214844,time,2.8067835481942813,60,11.88355725376253,0.7101704936108283,76.03118838689616,1.5097587314862888,2,100.0,True,10.618680408100074
JPM,VCP,v3,2024-06-28,195.77593994140625,182.0716241455078,236.88888732910155,2024-09-24,205.9416961669922,time,5.192546248853891,60,12.097999846719823,5.093540512923569,76.62680994775879,1.6966789092024737,2,100.0,True,12.826008393110394
JPM,VCP,v3,2024-11-06,241.93841552734375,225.00272644042968,292.74548278808595,2024-12-18,225.00272644042968,stop,-7.000000000000002,29,2.9345109627848918,7.095451506888671,87.65534397714568,2.659028712606127,3,100.0,True,10.78941680684592
V,VCP,v3,2023-01-10,216.1490020751953,201.01857192993162,261.5402925109863,2023-04-06,221.3722381591797,time,2.416497894432694,60,5.9749407091824605,5.391978672851236,84.97059838892352,1.5429664350440548,3,92.5,False,-1.095766547646263
MA,VCP,v3,2023-01-06,361.8492431640625,336.5197961425781,437.8375842285156,2023-03-13,336.5197961425781,stop,-7.000000000000002,44,6.073373516429757,7.468658805045517,88.31968012880172,1.6237874160138377,3,100.0,False,-1.8584413093294303
MA,VCP,v3,2023-06-30,387.6806945800781,360.54304595947264,469.09364044189454,2023-09-26,390.2945556640625,time,0.6742303964389086,60,6.5866706902019665,1.6072045171877047,74.00415572814535,1.5017136252459353,2,97.5,True,11.844293013686753
ABBV,VCP,v3,2024-07-25,174.6210479736328,162.3975746154785,211.2914680480957,2024-10-18,182.4794921875,time,4.50028464784714,60,9.760117468492131,0.9002456286522369,74.6161506523468,1.7202598298869958,2,100.0,True,9.076219820352657
