Config,Timing,Trades,Win Rate,Profit Factor,Total Return,Avg Win,Avg Loss,Avg Risk,Avg Slippage,Gap Up,Gap Down
same_day_close,same_day_close,108,69.4%,1.83,250.6%,7.3%,-9.1%,14.5%,+0.00%,0,0
next_day_open,next_day_open,109,70.6%,1.58,194.2%,6.9%,-10.4%,14.7%,+0.24%,26,31
