symbol,entry_type,signal_date,entry_date,entry_price,signal_close,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,risk_pct,overall_score,prior_advance_pct,position_in_base,slippage_pct
AMZN,handle,2023-05-26,2023-05-30,122.37000274658203,120.11000061035156,99.12700149536133,192.09900650024414,2023-07-20,129.81749420166014,trailing_stop,6.086043383116723,35,11.669519350649196,2.6150237033692467,18.994035081747118,90.0,48.98685894652144,upper_third,1.881610294518384
AMZN,handle,2023-12-15,2023-12-18,150.55999755859375,149.97000122070312,136.72960418701172,192.05117767333985,2024-02-13,166.620499420166,trailing_stop,10.667177286132693,38,16.491765564350214,4.3238540199248,9.185968116265165,99.0,33.510298041511724,upper_third,0.393409570639636
AMZN,handle,2024-11-06,2024-11-07,207.44000244140625,207.08999633789062,181.52539581298828,285.18382232666016,2024-12-18,221.35,trailing_stop,6.705552157194357,28,12.321633849678273,5.635365553328231,12.492579214916777,100.0,32.708921666282706,upper_third,0.16901159385050676
AMZN,handle,2024-12-20,2024-12-23,225.00999450683594,224.9199981689453,191.835,324.53497802734375,2024-12-31,219.38999938964844,time,-2.49766466129875,5,1.8354761937861512,2.924315360069387,14.743787083567995,96.0,32.708921666282706,upper_third,0.04001259942347394
GOOGL,handle,2023-08-29,2023-08-30,133.85676288912396,133.64822387695312,115.06201929758964,190.2409936637269,2023-11-24,135.7537078857422,time,1.417145428945944,60,4.778172235653668,10.810205408978371,14.040936883482196,92.66666666666666,42.72974044117216,upper_third,0.1560357527555537
GOOGL,pivot_breakout,2024-12-11,2024-12-12,194.36632666128313,194.76502990722656,157.0969944204183,306.1743233838776,2024-12-31,188.6848602294922,time,-2.9230713618886637,12,3.2923056314509287,5.01539258939791,19.174788596901905,100.0,30.074648550698914,upper_third,-0.20470987329365742
MSFT,handle,2023-05-25,2023-05-26,317.9399988951654,319.804443359375,264.22126273088537,479.09620738800544,2023-06-21,327.63128472358136,trailing_stop,3.0481492929775995,16,8.471736097871165,0.46907847462815644,16.895872287523265,96.66666666666666,30.037935529540583,upper_third,-0.5829951718696018
MSFT,handle,2023-07-18,2023-07-19,354.96212416292167,352.74444580078125,310.11963858215285,489.48958090522814,2023-08-18,310.11963858215285,stop,-12.63303392904728,22,0.0,13.694648819033773,12.63303392904728,96.0,33.49057592501693,upper_third,0.6286926381238875
META,low_cheat,2024-05-01,2024-05-02,436.61404535401124,436.9622497558594,404.1495356589233,534.007574439275,2024-05-31,456.0499363858009,trailing_stop,4.451503848446018,20,9.948951419416865,0.0,7.43551657133828,100.0,73.9298396527719,lower_third,-0.079687524961867
META,handle,2024-07-05,2024-07-08,540.1346427994949,537.70458984375,481.3324836574293,716.5411202256919,2024-07-17,481.3324836574293,stop,-10.886574287717696,7,0.0,15.346169771868464,10.886574287717696,100.0,69.62759952690817,upper_third,0.4519308560209766
NVDA,handle,2021-12-07,2021-12-08,31.93891273407669,32.36610794067383,23.398629930687235,57.55976114424506,2022-01-21,23.398629930687235,stop,-26.739428716612334,30,0.643772187529711,27.300847370533155,26.739428716612334,96.0,71.24806573682557,upper_third,-1.3198843907342022
NVDA,pivot_breakout,2024-01-08,2024-01-09,52.37474091414494,52.226806640625,44.08381721023219,77.24751202588317,2024-02-13,70.84492633799096,trailing_stop,35.265444948211176,24,42.38467889285389,0.0,15.830004233345244,96.0,34.559388164345506,upper_third,0.28325353019930755
AMD,pivot_breakout,2022-02-01,2022-02-02,129.88999938964844,116.77999877929688,97.81379760742188,226.1186047363281,2022-04-11,97.81379760742188,stop,-24.694897169106362,47,2.3635440285200384,26.13749873567851,24.694897169106362,89.33333333333334,65.0047525224143,upper_third,11.226238009411373
AVGO,handle,2023-02-28,2023-03-01,56.901759646638475,56.929534912109375,52.48830585950479,70.14212100803952,2023-03-13,58.61144166870644,trailing_stop,3.004620652656683,8,8.425916476480724,1.3249276137046482,7.756269427415523,95.66666666666666,33.92891826528421,upper_third,-0.048788850135138645
AVGO,handle,2023-05-31,2023-06-01,77.24675221695577,77.9549560546875,56.85437860232891,138.42387306083634,2023-06-22,81.57238699293637,trailing_stop,5.599762646113063,14,11.15764489064533,3.027628947853691,26.399004526886383,96.0,47.14151365430937,upper_third,-0.9084782720355924
AVGO,pivot_breakout,2023-08-31,2023-09-01,87.4793111198918,89.5182113647461,77.83804009756076,116.40312418688492,2023-09-21,77.83804009756076,stop,-11.021201354818082,13,0.0,11.359682014556734,11.021201354818082,99.0,62.281853853806744,upper_third,-2.2776373810092077
MU,handle,2023-05-15,2023-05-16,63.77902818387038,63.867958068847656,56.19016236513489,86.54562564007685,2023-05-26,70.01416937168715,trailing_stop,9.776162110594251,8,15.55385485325711,1.7196104576725553,11.89868524941668,93.66666666666666,33.15384636658268,upper_third,-0.1392402194562289
MU,handle,2023-09-22,2023-09-25,67.60132845316963,68.18536376953125,59.90472908690761,90.69112655195569,2023-11-28,74.33232099370083,trailing_stop,9.956893887365032,45,15.744098828805294,6.53098808344898,11.385278281319263,96.0,42.00361121085266,upper_third,-0.8565405888801588
MU,handle,2024-06-17,2024-06-18,150.80726419626035,146.9212646484375,117.86081934643278,249.64659874574306,2024-07-18,117.86081934643278,stop,-21.84672271950449,20,3.736638342918406,24.746425726241377,21.84672271950449,100.0,55.83705645217813,upper_third,2.644953783321641
QCOM,handle,2023-07-28,2023-07-31,123.65463275893805,123.16946411132812,105.37078741126435,178.50616880195918,2023-08-16,105.37078741126435,stop,-14.786219440170633,12,1.8462854913704978,15.339649395925017,14.786219440170633,90.0,31.005409105874364,upper_third,0.39390335186601066
AMAT,low_cheat,2023-04-20,2023-04-21,110.70987022578784,111.60748291015625,104.22161087167214,130.17464828813493,2023-05-19,122.40529570123311,trailing_stop,10.564031419775832,20,16.383190968185097,3.807194689357703,5.8605970189317205,95.66666666666666,63.628583072112754,lower_third,-0.8042585147189345
AMAT,handle,2023-05-25,2023-05-26,127.91786675664208,127.62442016601562,110.9338698656289,178.86985742968162,2023-06-22,132.4503067350343,trailing_stop,3.5432423111112223,17,8.992886643274973,0.015288451668296274,13.277267141520158,93.66666666666666,62.1864920466804,upper_third,0.22992981299718326
AMAT,handle,2023-06-26,2023-06-27,137.09324671920766,136.75091552734375,110.9338698656289,215.5713772799439,2023-08-03,142.44005014271116,trailing_stop,3.90012167007376,26,9.368549126393447,4.730621940155438,19.081448196465868,97.0,34.408837110586205,upper_third,0.250331919566166
AMAT,handle,2023-12-11,2023-12-12,152.41228828665902,152.41229248046875,136.3625154381685,200.56160683213062,2024-01-26,166.50014609068003,trailing_stop,9.243255883360524,30,14.992900929853178,4.570070034817936,10.530497920419588,96.0,38.22235504589767,upper_third,-2.751621710729677e-06
